date,p_state_0,p_state_1,p_state_2,hard_state,max_prob
2011-02-02,0.9805374181870882,0.01945832930025091,4.252512660939538e-06,0,0.9805374181870882
2011-02-03,0.9903643641186213,0.009635585819073074,5.006230554362773e-08,0,0.9903643641186213
2011-02-04,0.9871413675859895,0.012858603630863571,2.8783146980696375e-08,0,0.9871413675859895
2011-02-07,0.3648926879144347,0.6351060590405618,1.2530450034948587e-06,1,0.6351060590405618
2011-02-08,0.9034215445280003,0.09656911505708818,9.340414911534704e-06,0,0.9034215445280003
2011-02-09,0.9856411753891625,0.014358472562822168,3.520480152786706e-07,0,0.9856411753891625
2011-02-10,0.9894762529745775,0.010523688254926007,5.877049643380378e-08,0,0.9894762529745775
2011-02-11,0.5194743774443448,0.48052481578602657,8.067696286167547e-07,0,0.5194743774443448
2011-02-14,0.987508341622735,0.012490306384175157,1.3519930897362516e-06,0,0.987508341622735
2011-02-15,0.9749014136978911,0.02509851391997284,7.238213603931608e-08,0,0.9749014136978911
2011-02-16,0.35917253971953456,0.6408247731426719,2.6871377935371153e-06,1,0.6408247731426719
2011-02-17,0.9825963593223008,0.017401303128459365,2.33754923974972e-06,0,0.9825963593223008
2011-02-18,0.9919250133361063,0.008074944640175209,4.2023718554574496e-08,0,0.9919250133361063
2011-02-22,7.638530215748258e-36,0.999992792124328,7.207875671696637e-06,1,0.999992792124328
2011-02-23,0.11103947919308393,0.8888621123760415,9.840843087478524e-05,1,0.8888621123760415
2011-02-24,0.9790296753779065,0.020965475975273384,4.848646820138396e-06,0,0.9790296753779065
2011-02-25,2.5655525364845534e-07,0.9999968406375374,2.9028072089819203e-06,1,0.9999968406375374
2011-02-28,0.2671176232941724,0.7327987355170112,8.364118881635567e-05,1,0.7327987355170112
2011-03-01,7.264537969879562e-24,0.9997935758064581,0.00020642419354181208,1,0.9997935758064581
2011-03-02,0.9826884212588896,0.01730817204013053,3.406700979918879e-06,0,0.9826884212588896
2011-03-03,1.8857214106716456e-23,0.99999399994831,6.000051690188605e-06,1,0.99999399994831
2011-03-04,0.003066393271139978,0.9968311276858622,0.00010247904299799425,1,0.9968311276858622
2011-03-07,0.0009787669452247785,0.9989176234157479,0.00010360963902711572,1,0.9989176234157479
2011-03-08,0.0002201716276160418,0.9996798262212976,0.0001000021510866274,1,0.9996798262212976
2011-03-09,0.9747275454652983,0.025267015256217374,5.439278484370867e-06,0,0.9747275454652983
2011-03-10,4.126794470646613e-30,0.9999848693757569,1.5130624243325441e-05,1,0.9999848693757569
2011-03-11,0.035526754300413244,0.9643656004870078,0.00010764521257896649,1,0.9643656004870078
2011-03-14,0.10022201637416177,0.8996711393872049,0.00010684423863335068,1,0.8996711393872049
2011-03-15,3.7898429202193806e-10,0.9998818157673306,0.00011818385368525281,1,0.9998818157673306
2011-03-16,1.8613482081932618e-30,0.999474032341882,0.0005259676581177647,1,0.999474032341882
2011-03-17,4.149369637708959e-13,0.9998126689115111,0.00018733108807403453,1,0.9998126689115111
2011-03-18,0.9010655313084657,0.0989149841543318,1.9484537202549007e-05,0,0.9010655313084657
2011-03-21,9.451487323404715e-19,0.9999632605660748,3.673943392508276e-05,1,0.9999632605660748
2011-03-22,0.8684117449581576,0.13156309770560154,2.5157336240773217e-05,0,0.8684117449581576
2011-03-23,0.9663572806818105,0.033641542728731086,1.176589458390914e-06,0,0.9663572806818105
2011-03-24,1.2007978833261043e-05,0.99998224972654,5.742294626661875e-06,1,0.99998224972654
2011-03-25,0.9417454405069707,0.05824306499282711,1.1494500202231867e-05,0,0.9417454405069707
2011-03-28,0.9642892176062836,0.03571018332617313,5.99067543246618e-07,0,0.9642892176062836
2011-03-29,0.08564303070115398,0.9143520113367779,4.9579620681386956e-06,1,0.9143520113367779
2011-03-30,0.035811425710702234,0.9640825483950403,0.00010602589425760227,1,0.9640825483950403
2011-03-31,0.9709316132295899,0.029061910339948274,6.476430461879667e-06,0,0.9709316132295899
2011-04-01,0.9196243061379781,0.08037526517730714,4.2868471473860616e-07,0,0.9196243061379781
2011-04-04,0.9845187457091226,0.015480866672340717,3.876185367126737e-07,0,0.9845187457091226
2011-04-05,0.9802525736963211,0.019747313215723917,1.1308795499927715e-07,0,0.9802525736963211
2011-04-06,0.9743534134071139,0.025646484698391255,1.0189449477890314e-07,0,0.9743534134071139
2011-04-07,0.9801483897881758,0.019851496341496327,1.1387032797044973e-07,0,0.9801483897881758
2011-04-08,0.9574948399608003,0.042504996221829995,1.638173697499148e-07,0,0.9574948399608003
2011-04-11,0.9723747577864339,0.027624998589390465,2.436241755840618e-07,0,0.9723747577864339
2011-04-12,0.0067229614853835905,0.9932732373267065,3.8011879101492935e-06,1,0.9932732373267065
2011-04-13,0.9826606139777486,0.017332864535431407,6.521486820027758e-06,0,0.9826606139777486
2011-04-14,0.9932228718601896,0.006777067877454192,6.026235624093373e-08,0,0.9932228718601896
2011-04-15,0.9816248501367978,0.018375114776441846,3.50867604144086e-08,0,0.9816248501367978
2011-04-18,5.71836978337128e-09,0.9999956193234281,4.3749582023830955e-06,1,0.9999956193234281
2011-04-19,0.5907087418635588,0.4092170748271463,7.418330929505009e-05,0,0.5907087418635588
2011-04-20,2.0774552674855878e-13,0.9999110468804852,8.895311930691869e-05,1,0.9999110468804852
2011-04-21,0.8087206932379966,0.19124641110817164,3.2895653831895996e-05,0,0.8087206932379966
2011-04-25,0.991549375855918,0.008449953270165182,6.708739168445643e-07,0,0.991549375855918
2011-04-26,0.001134759005110169,0.9988637543328576,1.486662032448594e-06,1,0.9988637543328576
2011-04-27,0.18984525143958192,0.8100383215624067,0.00011642699801148957,1,0.8100383215624067
2011-04-28,0.9797698206795855,0.02022643832840578,3.7409920086936214e-06,0,0.9797698206795855
2011-04-29,0.9922376907555651,0.007762256898020145,5.234641474280102e-08,0,0.9922376907555651
2011-05-02,0.9919652056197807,0.008034770623194376,2.3757024785221366e-08,0,0.9919652056197807
2011-05-03,0.967921131073661,0.032078801681904814,6.724443425232678e-08,0,0.967921131073661
2011-05-04,0.08872716863041635,0.9112675374086661,5.293960917805589e-06,1,0.9112675374086661
2011-05-05,2.7770406364841503e-05,0.9998565728298174,0.00011565676381762612,1,0.9998565728298174
2011-05-06,0.9134127796957432,0.08657343528252595,1.3785021730836888e-05,0,0.9134127796957432
2011-05-09,0.9708072014499016,0.029192243694611694,5.548554867126171e-07,0,0.9708072014499016
2011-05-10,0.001223847088824467,0.9987717673666268,4.385544548616167e-06,1,0.9987717673666268
2011-05-11,5.802297471270367e-08,0.999878691769749,0.00012125020727608646,1,0.999878691769749
2011-05-12,0.8542750722610319,0.1457041653541106,2.0762384857573164e-05,0,0.8542750722610319
2011-05-13,0.0035178206025072148,0.9964614657416015,2.0713655891047827e-05,1,0.9964614657416015
2011-05-16,0.08695142616993283,0.9129421580135177,0.00010641581654946516,1,0.9129421580135177
2011-05-17,0.9813006028115392,0.01869367089103248,5.726297428295379e-06,0,0.9813006028115392
2011-05-18,0.0003015459271370696,0.9996956422953891,2.811777473828026e-06,1,0.9996956422953891
2011-05-19,0.9855052125084295,0.014491632711973325,3.154779597197427e-06,0,0.9855052125084295
2011-05-20,0.0019964888606292244,0.9980011171168742,2.3940224963379337e-06,1,0.9980011171168742
2011-05-23,3.5774591259209097e-10,0.9998721980312151,0.00012780161103900724,1,0.9998721980312151
2011-05-24,0.9843742522483214,0.015621256541157588,4.491210521023546e-06,0,0.9843742522483214
2011-05-25,0.9831332151444674,0.016866720287999105,6.456753358009616e-08,0,0.9831332151444674
2011-05-26,0.9288652295434017,0.07113453795433972,2.3250225858625907e-07,0,0.9288652295434017
2011-05-27,0.9712878710314843,0.028711702589641633,4.263788740770948e-07,0,0.9712878710314843
2011-05-31,1.125241346916361e-06,0.9999947260964981,4.148662154980208e-06,1,0.9999947260964981
2011-06-01,3.651267296396032e-46,0.9983550094065622,0.001644990593438163,1,0.9983550094065622
2011-06-02,0.9772867967331351,0.022706438092396693,6.765174468239789e-06,0,0.9772867967331351
2011-06-03,8.032156947810995e-07,0.9999959865158741,3.2102684313175145e-06,1,0.9999959865158741
2011-06-06,3.0115154928310673e-08,0.9998932620961201,0.00010670778872514811,1,0.9998932620961201
2011-06-07,0.9755223896256721,0.024471353818323324,6.256556004660028e-06,0,0.9755223896256721
2011-06-08,0.893824040971786,0.10617548660437293,4.7242384103525314e-07,0,0.893824040971786
2011-06-09,0.012600206644472185,0.987386575041348,1.321831417990503e-05,1,0.987386575041348
2011-06-10,7.47156111642642e-16,0.9998499609682767,0.00015003903172252202,1,0.9998499609682767
2011-06-13,0.9790605410001758,0.020934273534904232,5.18546491995023e-06,0,0.9790605410001758
2011-06-14,2.007736223135256e-11,0.9999965543784941,3.445601428416573e-06,1,0.9999965543784941
2011-06-15,8.804823745059488e-28,0.9996359249750426,0.00036407502495733703,1,0.9996359249750426
2011-06-16,0.9732101882009813,0.026784465200983685,5.346598035024109e-06,0,0.9732101882009813
2011-06-17,0.9752792310714394,0.024720623884810815,1.4504374976999641e-07,0,0.9752792310714394
