regime,count,rmse,mae,spearman,top_decile_hit,rmse_hv_fut,hv_fut_frac
0,851,0.006622982727920367,0.004975357779908382,0.08458842674719017,0.13953488372093023,0.016237460505626758,0.021300766827605795
1,1448,0.007033945829608804,0.00511080622167407,0.028060126020208555,0.09655172413793103,0.018654462007333044,0.03464924737290542
2,810,0.008551430522001942,0.005842851971088317,0.1833383782096253,0.2962962962962963,0.018686682996276044,0.02982107355864811
3,412,0.012626160117555784,0.00655572565405834,-0.017988302790084735,0.14285714285714285,0.03383339751057363,0.014484521442771939
