regime,count,rmse,mae,spearman,top_decile_hit,rmse_hv_fut,hv_fut_frac
0,851,0.006832149106989808,0.004847693292818529,0.22233478751552843,0.20930232558139536,0.016694013821971398,0.02470888952002272
1,1448,0.007441112838361587,0.004915015713587578,0.2228674736271645,0.2,0.02057998843655146,0.03578528827037773
2,810,0.009815895694742591,0.006076244214390835,0.27706958893577976,0.30864197530864196,0.02226398052128589,0.031241124680488497
3,412,0.006814338256162547,0.0045116974118541734,0.12357428484150515,0.21428571428571427,0.020491508351820984,0.008520306731042317
