ticker,horizon,model,realized_ann_vol,vol_error,sharpe,max_drawdown,mean_leverage,turnover,var_violation_rate,var_p_uc,var_p_ind,var_p_cc,var_mean_level
AAPL,1,ewma,0.13614319100606445,0.036143191006064446,0.8634017706386641,-0.24503093069731618,0.5284587421741891,0.012777920882239354,0.053806175481504126,0.3235573391117139,0.01859983466327686,0.03851788382608645,-0.02620452452476381
AAPL,1,garch11,0.13467809383076795,0.03467809383076795,0.888456147224473,-0.2452131217684984,0.5235922110816419,0.020623428671912154,0.05227759095077958,0.5528716038875297,0.9837440887063396,0.8383609830279568,-0.026386288307441864
AAPL,1,gbm_gated,0.13614158995445025,0.03614158995445024,0.9633035643265917,-0.23056989703720954,0.5445947982004635,0.10054669687022305,0.053194741669214306,0.4064708915149129,0.22957973781865937,0.3442864421302305,-0.026534063695375556
AAPL,1,gbm_pooled,0.13375903951163723,0.03375903951163722,0.9057662456226075,-0.23417049624633823,0.5304021893894914,0.0729342062647402,0.051971874044634665,0.6070524478869648,0.45820985415784765,0.6653934637688232,-0.025878066570110075
AAPL,1,har,0.1354927816428026,0.03549278164280259,0.8693095276700531,-0.2459946474324073,0.5284595300263242,0.0354565301540767,0.05472332619993886,0.22182148338544527,0.9458620328755042,0.47303794421464773,-0.02627912822639094
AAPL,1,regime_features,0.13183605240934138,0.03183605240934137,0.8921321923449412,-0.22686878973233593,0.5312825571020421,0.08167268803188217,0.0498318557016203,0.9647868004205822,0.963080211347325,0.9979562706759882,-0.025776981691384173
AAPL,1,regime_gate_shuffle,0.1325971305213252,0.03259713052132521,0.8895852678701999,-0.21437205826362604,0.5266644875457346,0.08632032260496542,0.05044328951391012,0.9075218766436027,0.37383328058162424,0.6688545856152548,-0.026006321779835032
AAPL,1,regime_normal,0.13315276125594025,0.033152761255940244,0.9103348126803302,-0.2279217911674397,0.532674060187295,0.07430147334295611,0.0528890247630694,0.452424683094097,0.957420255298925,0.7529846765709007,-0.025724524599261642
AAPL,1,regime_shrunk,0.13218287905081208,0.032182879050812074,0.9043504452323567,-0.22818714333122958,0.5288103625554308,0.0746952953455813,0.051971874044634665,0.6070524478869648,0.9542634977017613,0.874686737893635,-0.02554588023360741
AAPL,1,regime_single,0.13188954612223616,0.031889546122236156,0.8931709811534979,-0.2234212436201667,0.5311448115965364,0.08380431178134681,0.0498318557016203,0.9647868004205822,0.41256829823447205,0.7141457360814092,-0.025792459065714247
AAPL,1,ridge,0.13188954612223616,0.031889546122236156,0.8931709811534979,-0.2234212436201667,0.5311448115965364,0.08380431178134681,0.0498318557016203,0.9647868004205822,0.41256829823447205,0.7141457360814092,-0.025792459065714247
AAPL,1,rw_vol,0.42880937620160986,0.3288093762016099,0.5721078372695388,-0.5781287750942448,1.2338010762941618,1.1825774363708363,0.04952613879547539,0.9008905089572621,,,-0.07676605848008664
AAPL,5,ewma,0.11096897237644171,0.010968972376441705,0.868527183210553,-0.20176101789653467,0.42989758934612965,0.009475820404953544,,,,,
AAPL,5,garch11,0.10961629148575913,0.009616291485759126,0.889917630753196,-0.20218795570668346,0.42472922532296553,0.015149535196073788,,,,,
AAPL,5,gbm_gated,0.11026688957001082,0.010266889570010818,0.8816941780501768,-0.19508271934949728,0.43180516303793987,0.048466949819831934,,,,,
AAPL,5,gbm_pooled,0.10981086532689546,0.009810865326895457,0.8963608532925218,-0.20364516746204608,0.43011299700186445,0.03570286748378917,,,,,
AAPL,5,har,0.10984681944125434,0.009846819441254331,0.8662100476200225,-0.20468159902080385,0.4262012241836825,0.021718638797111077,,,,,
AAPL,5,regime_features,0.1083277454852889,0.00832774548528889,0.9008676363031357,-0.20150904221475496,0.4320900565397119,0.035935585120890554,,,,,
AAPL,5,regime_gate_shuffle,0.11220960143486254,0.012209601434862535,0.9385544336963015,-0.18890291659736413,0.43060103856405124,0.053338176638571655,,,,,
AAPL,5,regime_normal,0.10874340847240399,0.008743408472403985,0.8951593313871152,-0.18573479424233352,0.4301153081008929,0.040080700285419026,,,,,
AAPL,5,regime_shrunk,0.10854193430120161,0.008541934301201606,0.8961088250159516,-0.19125396614704848,0.42977993218932736,0.03603853337034531,,,,,
AAPL,5,regime_single,0.1080319666972901,0.008031966697290088,0.9052552241865566,-0.19545714453769591,0.43019052131805424,0.03467822818492555,,,,,
AAPL,5,ridge,0.1080319666972901,0.008031966697290088,0.9052552241865566,-0.19545714453769591,0.43019052131805424,0.03467822818492555,,,,,
AAPL,5,rw_vol,0.1416258723435047,0.041625872343504705,0.7824275762362506,-0.2642903903263124,0.5511734301909643,0.1031014143158951,,,,,
