ticker,horizon,loss,model,in_mcs,mcs_p,set_size
EEM,1,mse,garch11,True,0.2415,3
EEM,1,mse,gbm_gated,False,0.019,3
EEM,1,mse,gbm_pooled,False,0.04,3
EEM,1,mse,har,False,0.04,3
EEM,1,mse,regime_features,False,0.04,3
EEM,1,mse,regime_normal,False,0.04,3
EEM,1,mse,regime_shrunk,True,0.2415,3
EEM,1,mse,ridge,True,0.2415,3
EEM,1,qlike,ewma,False,0.015,6
EEM,1,qlike,garch11,True,0.5185,6
EEM,1,qlike,gbm_gated,False,0.0,6
EEM,1,qlike,gbm_pooled,True,0.5185,6
EEM,1,qlike,har,False,0.001,6
EEM,1,qlike,regime_features,True,0.5185,6
EEM,1,qlike,regime_normal,True,0.5185,6
EEM,1,qlike,regime_shrunk,True,0.5185,6
EEM,1,qlike,ridge,True,0.5185,6
EEM,5,mse,ewma,True,0.1515,9
EEM,5,mse,garch11,True,0.1515,9
EEM,5,mse,gbm_gated,True,0.1515,9
EEM,5,mse,gbm_pooled,True,0.1515,9
EEM,5,mse,har,True,0.1515,9
EEM,5,mse,regime_features,True,0.1515,9
EEM,5,mse,regime_normal,True,0.1515,9
EEM,5,mse,regime_shrunk,True,0.1515,9
EEM,5,mse,ridge,True,0.1515,9
EEM,5,qlike,ewma,True,0.267,9
EEM,5,qlike,garch11,True,0.267,9
EEM,5,qlike,gbm_gated,True,0.267,9
EEM,5,qlike,gbm_pooled,True,0.267,9
EEM,5,qlike,har,True,0.267,9
EEM,5,qlike,regime_features,True,0.267,9
EEM,5,qlike,regime_normal,True,0.267,9
EEM,5,qlike,regime_shrunk,True,0.267,9
EEM,5,qlike,ridge,True,0.267,9
EEM,20,mse,ewma,True,0.171,9
EEM,20,mse,garch11,True,0.171,9
EEM,20,mse,gbm_gated,True,0.171,9
EEM,20,mse,gbm_pooled,True,0.171,9
EEM,20,mse,har,True,0.171,9
EEM,20,mse,regime_features,True,0.171,9
EEM,20,mse,regime_normal,True,0.171,9
EEM,20,mse,regime_shrunk,True,0.171,9
EEM,20,mse,ridge,True,0.171,9
EEM,20,qlike,ewma,True,0.256,9
EEM,20,qlike,garch11,True,0.256,9
EEM,20,qlike,gbm_gated,True,0.256,9
EEM,20,qlike,gbm_pooled,True,0.256,9
EEM,20,qlike,har,True,0.256,9
EEM,20,qlike,regime_features,True,0.256,9
EEM,20,qlike,regime_normal,True,0.256,9
EEM,20,qlike,regime_shrunk,True,0.256,9
EEM,20,qlike,ridge,True,0.256,9
EFA,1,mse,ewma,False,0.038,4
EFA,1,mse,garch11,True,0.558,4
EFA,1,mse,gbm_gated,False,0.003,4
EFA,1,mse,gbm_pooled,False,0.003,4
EFA,1,mse,har,False,0.038,4
EFA,1,mse,regime_features,True,0.558,4
EFA,1,mse,regime_normal,False,0.038,4
EFA,1,mse,regime_shrunk,True,0.558,4
EFA,1,mse,ridge,True,0.558,4
EFA,1,qlike,ewma,True,0.1315,9
EFA,1,qlike,garch11,True,0.1315,9
EFA,1,qlike,gbm_gated,True,0.1315,9
EFA,1,qlike,gbm_pooled,True,0.1315,9
EFA,1,qlike,har,True,0.1315,9
EFA,1,qlike,regime_features,True,0.1315,9
EFA,1,qlike,regime_normal,True,0.1315,9
EFA,1,qlike,regime_shrunk,True,0.1315,9
