dgp,has_true_regimes,sep_ratio,excess_persistence,excess_persistence_no_vol,state_recovery_ari,mean_self_transition,redundancy_acc,redundancy_base_rate,imp_h1,imp_h5,imp_h20,monotone,n_states_used,state_entropy
garch11,False,3.0048507726485276,0.392411743053015,0.10508691784934299,,0.7257450763863482,0.9476635514018693,0.4872274143302182,-0.7516962102775285,-1.7940374505967462,-2.2932595641054228,,,
iid_normal,False,1.2776183885733723,0.2526519028468787,-0.003463268108982201,,0.5859852361802123,0.9075285565939772,0.398442367601246,-0.0939736042225623,-0.1740618092808386,-0.5915511641454231,,,
iid_t,False,1.6043520335455537,0.26076444102322266,0.0016446843451325007,,0.594097774356556,0.9328660436137071,0.4801142263759085,-0.09414790658175536,-0.21728467240784935,-0.4196911857900718,,,
ms_level,True,3.1508279981700853,0.3777831921967307,0.20922358372871366,0.32741474918987357,0.711116525530064,0.9734683281412253,0.4721703011422638,0.3141988390000237,0.5916864563171983,0.08655635491754649,,,
ms_slope,True,2.7964828959611734,0.40609058179957147,0.1386821084029166,0.131358224920823,0.7394239151329048,0.9599169262720663,0.4408099688473521,-0.07406730652696188,-0.4392697115102553,-1.0984461940128414,,,
real,,2.5142172311943676,0.33850563391690075,0.11756199237610408,,0.6718389672502342,0.9480840543881335,0.4072929542645241,-3.68819378027706,-4.365916605561018,-3.445691247747737,True,3.0,1.0568729969874144
