dgp,has_true_regimes,rep,horizon,rmse_gated,rmse_pooled,improvement_pct,uncond_vol,excess_persistence_no_vol,state_recovery_ari,sep_ratio,monotone,mean_self_transition,excess_persistence,n_states_used,state_entropy,redundancy_acc,redundancy_base_rate
ms_level,True,1,1,0.00874563218475327,0.008756311302230904,0.12195908881076462,0.010543379151011813,0.2056836983573227,0.20644463883807337,3.0042077118569943,True,0.6590648437986598,0.32573151046532645,3,1.0831276792723312,0.9682242990654205,0.36261682242990656
ms_level,True,1,5,0.006066333823888403,0.00612954744566329,1.0312934573923778,0.010543379151011813,0.2056836983573227,0.20644463883807337,3.0042077118569943,True,0.6590648437986598,0.32573151046532645,3,1.0831276792723312,0.9682242990654205,0.36261682242990656
ms_level,True,1,20,0.005689269650657272,0.005747179467826272,1.0076215210119936,0.010543379151011813,0.2056836983573227,0.20644463883807337,3.0042077118569943,True,0.6590648437986598,0.32573151046532645,3,1.0831276792723312,0.9682242990654205,0.36261682242990656
ms_level,True,0,1,0.00841160465406638,0.008463933914399134,0.6182616837748408,0.010001211482460682,0.1764158939322732,0.19031892092907896,3.2642235293743522,True,0.6690991688955418,0.33576583556220846,3,1.0894855103911105,0.9757009345794393,0.38753894080996887
ms_level,True,0,5,0.006165798135285084,0.006170771622805375,0.08059749775718593,0.010001211482460682,0.1764158939322732,0.19031892092907896,3.2642235293743522,True,0.6690991688955418,0.33576583556220846,3,1.0894855103911105,0.9757009345794393,0.38753894080996887
ms_level,True,0,20,0.005941617223202325,0.005904350317325304,-0.6311770791727555,0.010001211482460682,0.1764158939322732,0.19031892092907896,3.2642235293743522,True,0.6690991688955418,0.33576583556220846,3,1.0894855103911105,0.9757009345794393,0.38753894080996887
ms_slope,True,9,1,0.010547367670220754,0.010478756710360516,-0.6547624089067895,0.012995016429182727,0.15242683519311495,0.023993350969607884,2.6947203439240486,True,0.7142232711492431,0.3808899378159098,3,1.0581632770304448,0.9632398753894081,0.4834890965732087
ms_slope,True,9,5,0.006606796310370747,0.0065896187010270535,-0.26067683310745177,0.012995016429182727,0.15242683519311495,0.023993350969607884,2.6947203439240486,True,0.7142232711492431,0.3808899378159098,3,1.0581632770304448,0.9632398753894081,0.4834890965732087
ms_slope,True,9,20,0.005797192859640434,0.005717100754765004,-1.4009216963454056,0.012995016429182727,0.15242683519311495,0.023993350969607884,2.6947203439240486,True,0.7142232711492431,0.3808899378159098,3,1.0581632770304448,0.9632398753894081,0.4834890965732087
ms_slope,True,4,1,0.007659504083271752,0.0076335257144330634,-0.34031939906313097,0.010383108003038868,0.13063614894098982,0.1145422909605328,2.6473067653473983,True,0.7032173837864031,0.36988405045306977,3,1.0817403361388398,0.9663551401869159,0.4585669781931464
