case,rep,horizon,rmse_pooled,rmse_twostage,rmse_joint,twostage_vs_pooled_pct,joint_vs_pooled_pct,joint_dm_p
ms_level,0,1,0.009508086339831951,0.009425532384168586,0.00921041822307701,0.8682499581174852,3.13068377921569,5.531800928437747e-08
ms_level,0,5,0.006239692270401979,0.006118186232116801,0.005774157953354088,1.9473081847568516,7.4608537869112,5.580715578545892e-08
ms_level,0,20,0.0056989142941790685,0.005741233125474041,0.006107801067133635,-0.742577078904264,-7.174818778590998,0.005674021225158032
ms_level,1,1,0.006952338234071415,0.006928281061648861,0.006827513890406491,0.3460299486675783,1.7954296736196669,0.028008169228933566
ms_level,1,5,0.004867234241163246,0.0048892435322989815,0.004832683962249331,-0.45219297131002906,0.7098544512552073,0.7163929341173843
ms_level,1,20,0.004536310618717836,0.004603872639964199,0.004818021418712459,-1.4893605602664706,-6.210130294698551,0.013368154761033146
ms_level,2,1,0.007664831034981487,0.0076271931816314685,0.007454368285895943,0.4910460932307981,2.7458237255983113,0.0006321506508835117
ms_level,2,5,0.005409416671662368,0.005374575555993068,0.005157480436753797,0.6440826762674462,4.657364189162169,0.005848319810640712
ms_level,2,20,0.005055600848044472,0.005065415967768113,0.005421868251320754,-0.19414348598026573,-7.2447848294423,0.013595925473160575
garch11,1,1,0.020142257245824812,0.02023767278919361,0.021343643691137684,-0.4737082949756168,-5.964507506038835,0.07357095840788808
garch11,1,5,0.015497231544851492,0.016228127469864722,0.017111798168687447,-4.7162999591113985,-10.418419697499763,0.04015727774346112
garch11,1,20,0.015428505792078018,0.016750689908890504,0.020293413133452964,-8.569748325799505,-31.53194098596962,0.04009785658838627
garch11,2,1,0.008628532045420597,0.008658924361258449,0.009027989862975856,-0.35223043361102574,-4.629499148319927,3.1189195670577874e-09
garch11,2,5,0.005773949226406281,0.005837511027172472,0.006071717853049771,-1.1008375424484207,-5.1571050414106585,0.0003244075239801081
garch11,2,20,0.004948507081748741,0.005110746017431384,0.005110154621572774,-3.278543063644754,-3.2665920681457017,0.08630068079928455
ms_level,3,1,0.007274752572410963,0.007292144320508479,0.007070475667499174,-0.23906996044748985,2.808025467237148,0.0009814541341783833
ms_level,3,5,0.00527783253725603,0.005237960646869236,0.005129818689373628,0.7554595585468072,2.8044438097946016,0.0987580756785067
ms_level,3,20,0.004942513993310511,0.004952585713338244,0.005301813667797028,-0.20377726884263336,-7.269573236875279,0.0019832193415427746
ms_slope,3,1,0.009192356651209764,0.009188670121083096,0.009384797488223596,0.040104298239803,-2.093487495271472,0.00046208132124991863
ms_slope,3,5,0.006077680372320385,0.006121651475951903,0.006233052893379626,-0.7234849636347518,-2.556444425193119,0.03605979332968512
ms_slope,3,20,0.005504088732502609,0.005561456017531873,0.0057682758856276335,-1.042266718748559,-4.7998345587154745,0.006672454561205576
ms_slope,1,1,0.009095180302713037,0.009090922745137977,0.009292487875710673,0.046811139893396095,-2.1693640635005393,0.013710693128099694
ms_slope,1,5,0.006477676758877056,0.006469108524839898,0.0064185598971723806,0.13227325715836832,0.9126244470853072,0.5692044756862682
ms_slope,1,20,0.005772617075697669,0.005844340660247817,0.00608831306083278,-1.2424795133579785,-5.468853745109301,0.0030792621871347237
garch11,0,1,0.006129983095240719,0.00625482565924897,0.006287314223407896,-2.0365890422304376,-2.5665833938323184,4.11666244559683e-06
garch11,0,5,0.004116220660644396,0.004242105552719055,0.004431904655495256,-3.0582639380404673,-7.669268022221115,0.0005287718103841321
garch11,0,20,0.003627158787399946,0.0038546639903669125,0.0038238051263257333,-6.272270289276439,-5.421497939624226,0.006742870978935445
ms_slope,0,1,0.0093449156880066,0.009317448216586921,0.00940228434314943,0.29392957985625545,-0.6139023299745442,0.26987471968974197
ms_slope,0,5,0.006148589802172887,0.006075348176970885,0.006133244971719694,1.1911938762953078,0.24956666401407998,0.824048225971918
ms_slope,0,20,0.005512921022934409,0.005513414989331383,0.005767537438250735,-0.00896015732709789,-4.61853914208259,0.026605919739392192
garch11,3,1,0.010804419941684844,0.010917821602261086,0.011454829583643406,-1.049585828654474,-6.019847853647356,6.925419450398707e-05
garch11,3,5,0.007115150141707406,0.007485362512928587,0.007562526343656758,-5.203156136524511,-6.287656522199496,0.004851249287654902
garch11,3,20,0.006863693905319424,0.007388965461159654,0.007353749062968408,-7.652898906711727,-7.139816612002273,0.17559648849727694
ms_slope,2,1,0.009286494537149272,0.009272794755987072,0.009448876786837378,0.1475237088375584,-1.748584991231293,0.0002195149525541229
ms_slope,2,5,0.006250682007879751,0.006252681092245972,0.006409239901584378,-0.031981859958648357,-2.5366494968828244,0.012121999502992198
ms_slope,2,20,0.0055364867604669275,0.005564812572030483,0.005716789590184171,-0.5116206863495909,-3.2566289330752025,0.07641353515651317
SPY,0,1,0.00696793880761994,0.00704679199720411,0.007532551921607553,-1.1316573202098024,-8.103014816521755,4.822362225098686e-07
SPY,0,5,0.004719030293990542,0.004935334212977585,0.005257408805365307,-4.58365184183063,-11.408668260942603,0.0008546767212664896
SPY,0,20,0.004867099010114743,0.005040595448161983,0.004999307974983932,-3.5646786245088156,-2.7163812487568855,0.1150898934747917
