regime,count,rmse,mae,spearman,top_decile_hit,rmse_hv_fut,hv_fut_frac
0,851,0.006582110548716282,0.00469789268310572,0.31717145136986746,0.27906976744186046,0.01578361516725517,0.023288838398182334
1,1448,0.006908816864639991,0.004565748780062254,0.34697560479142386,0.2827586206896552,0.018353526554600173,0.03692132916785004
2,810,0.009923171001635523,0.005956797084655387,0.37535229978124773,0.30864197530864196,0.02235818058289867,0.032377165577960804
3,412,0.0054612782057913145,0.0038840048562813227,0.31573482676180536,0.42857142857142855,0.015316735975346088,0.007668276057938086
