K,splits_used,splits_failed_or_collapsed,monotone_frac,separation_mean,separation_std,mean_self_transition,mu_state_0_mean,mu_state_0_cv,mu_state_1_mean,mu_state_1_cv,mu_state_2_mean,mu_state_2_cv,mu_state_3_mean,mu_state_3_cv
2,15,0,1.0,0.009171037160489478,0.0031609275890901235,0.929801807231856,0.006659165973373434,0.19041806773019934,0.015830203133862915,0.2693938281271947,,,,
3,15,0,1.0,0.016288127544654123,0.007041872324585647,0.8051908185814168,0.006197943881103888,0.21261648665646662,0.009762455424265626,0.23709587314093464,0.022486071425758005,0.3294147776295612,,
4,15,0,0.9333333333333333,0.020664936272110166,0.010000633086470936,0.6826805904124331,0.005667025014466351,0.21819058932628604,0.008878972684607305,0.2415865470408558,0.012490889074253823,0.4262160966472163,0.026331961286576517,0.3931065094229652
