split,test_start,mu_state_0,count_state_0,mu_state_1,count_state_1,monotone,separation_lo_hi,persistence
2005-02-03_2011-02-02,2011-02-03,0.00793697889677288,1151,0.021964013733138863,360,True,0.014027034836365982,0.8983299529768936
2006-02-03_2012-02-02,2012-02-03,0.008487732833798528,1072,0.021857272824629438,439,True,0.01336953999083091,0.9078855982157541
2007-02-05_2013-02-01,2013-02-03,0.008950678062931535,1084,0.02219355822608204,426,True,0.013242880163150506,0.9113631649274001
2008-02-04_2014-01-31,2014-02-03,0.008258256190410157,1087,0.02227248672747102,423,True,0.014014230537060862,0.9367490193301298
2009-02-03_2015-02-02,2015-02-03,0.00718928632590134,1081,0.01605773084442151,429,True,0.008868444518520171,0.9229528227824801
2010-02-03_2016-02-02,2016-02-03,0.006711954342872327,1021,0.013221889415965207,489,True,0.00650993507309288,0.902170023849534
2011-02-03_2017-02-02,2017-02-03,0.006418057390072984,1061,0.012759524766738589,449,True,0.006341467376665605,0.915371372416097
2012-02-03_2018-02-02,2018-02-03,0.005283188732295892,899,0.009175959559950972,611,True,0.00389277082765508,0.8564251808415425
2013-02-04_2019-02-01,2019-02-03,0.005093543275183607,932,0.010636353188820233,578,True,0.0055428099136366265,0.946834840356203
2014-02-03_2020-01-31,2020-02-03,0.0049273765152801,899,0.010648197265149427,611,True,0.005720820749869327,0.9500950818147144
2015-02-03_2021-02-02,2021-02-03,0.005606777182064027,1005,0.015265170643364532,506,True,0.009658393461300504,0.9609290408114664
2016-02-03_2022-02-02,2022-02-03,0.0056141018380780955,1021,0.014878066243662532,491,True,0.009263964405584437,0.9495424358693774
2017-02-03_2023-02-02,2023-02-03,0.005564715766942094,806,0.01490784491297591,704,True,0.009343129146033816,0.963326392511827
2018-02-05_2024-02-02,2024-02-03,0.006685659867415355,845,0.01537017370653554,664,True,0.008684513839120184,0.9655568761453919
2019-02-04_2025-01-31,2025-02-03,0.0071591823805826115,1014,0.016244804949037867,494,True,0.009085622568455257,0.9594953056290301
