horizon,rmse_mean,rmse_std,rmse_min,rmse_max,improvement_mean,improvement_min,improvement_max,baseline
1,0.007113748972549586,8.116353012765847e-05,0.006980534706601453,0.007224997217445499,-2.0925867599496235,-3.6891599786216154,-0.18076936852170172,0.00696793880761994
5,0.004947892316356055,5.8681945704699185e-05,0.00481040439076096,0.0050354784867673846,-4.849768026642211,-6.705788542612753,-1.9362896840645112,0.004719030293990542
20,0.005043367165686267,4.576298075195695e-05,0.0049820281487068675,0.0051197902113249965,-3.6216266651902016,-5.191823726723329,-2.3613478656029026,0.004867099010114743
