horizon,target,seed,rmse_regime,qlike_regime,rmse_pooled_ridge,improvement_pct,sel_K_mode,sel_soft_frac
1,y_rv_h1,0,0.007053488722631135,1.9015453231673234,0.00696793880761994,-1.227765015927525,4.0,0.4666666666666667
1,y_rv_h1,1,0.007146312169909264,1.915377259280151,0.00696793880761994,-2.559915739992726,2.0,0.6
1,y_rv_h1,2,0.00715235468204563,1.9702076788292342,0.00696793880761994,-2.6466345287650657,3.0,0.4
1,y_rv_h1,3,0.007181643533636704,1.9186018652817376,0.00696793880761994,-3.066971911163499,3.0,0.5333333333333333
1,y_rv_h1,4,0.007164138496148865,1.9738059798194523,0.00696793880761994,-2.8157493047207396,2.0,0.4
1,y_rv_h1,5,0.006980534706601453,1.8771911223907864,0.00696793880761994,-0.18076936852170172,2.0,0.6
1,y_rv_h1,6,0.007224997217445499,4.939409067910314,0.00696793880761994,-3.6891599786216154,3.0,0.5333333333333333
1,y_rv_h1,7,0.007166697669905642,2.0164451287718186,0.00696793880761994,-2.8524771496033416,3.0,0.3333333333333333
1,y_rv_h1,8,0.0070437352968574195,1.8769742393409774,0.00696793880761994,-1.0877892491620478,3.0,0.4666666666666667
1,y_rv_h1,9,0.007023587230314252,1.9022022524057751,0.00696793880761994,-0.7986353530179753,3.0,0.26666666666666666
5,y_rv_h5,0,0.0050354784867673846,0.5983720879854675,0.004719030293990542,-6.705788542612753,4.0,0.8666666666666667
5,y_rv_h5,1,0.00481040439076096,0.57187003446531,0.004719030293990542,-1.9362896840645112,4.0,0.8
5,y_rv_h5,2,0.004966162252982186,0.5935093151641271,0.004719030293990542,-5.23692249457171,3.0,0.8666666666666667
5,y_rv_h5,3,0.004983248371207336,0.5775438830506988,0.004719030293990542,-5.598990910341534,3.0,0.8666666666666667
5,y_rv_h5,4,0.004934183250453167,0.6214893465939788,0.004719030293990542,-4.559262031790978,3.0,0.6666666666666666
5,y_rv_h5,5,0.0049705211424501275,0.5788554938523698,0.004719030293990542,-5.329290824427364,3.0,1.0
5,y_rv_h5,6,0.004982617972736765,0.605862979321847,0.004719030293990542,-5.585632266058761,3.0,0.8
5,y_rv_h5,7,0.004934032866723832,0.594887615787683,0.004719030293990542,-4.556075281124718,3.0,0.8666666666666667
5,y_rv_h5,8,0.0049217936618660245,0.6156528921006585,0.004719030293990542,-4.296716809249815,3.0,0.7333333333333333
5,y_rv_h5,9,0.004940480767612769,0.6112913037869495,0.004719030293990542,-4.692711422179969,3.0,0.8
20,y_rv_h20,0,0.0051197902113249965,0.5236673574373083,0.004867099010114743,-5.191823726723329,2.0,0.7333333333333333
20,y_rv_h20,1,0.005026849473512244,0.5048981578212767,0.004867099010114743,-3.282252180724282,2.0,0.8666666666666667
20,y_rv_h20,2,0.005059462644198172,0.5087861886930235,0.004867099010114743,-3.952326297115827,2.0,0.8
20,y_rv_h20,3,0.005063951896412052,0.49009285368994104,0.004867099010114743,-4.044563011523123,3.0,0.6666666666666666
20,y_rv_h20,4,0.0050222366830686175,0.49853498614866865,0.004867099010114743,-3.1874772350319858,2.0,0.7333333333333333
20,y_rv_h20,5,0.005094214169553072,0.5095642847197229,0.004867099010114743,-4.6663353050008025,3.0,0.6
20,y_rv_h20,6,0.005002460768967829,0.5063153051926007,0.004867099010114743,-2.7811589320821053,2.0,0.7333333333333333
20,y_rv_h20,7,0.004990749072291581,0.5036604638189065,0.004867099010114743,-2.5405290075231632,3.0,0.7333333333333333
20,y_rv_h20,8,0.005071928588827238,0.5120703916416048,0.004867099010114743,-4.208453090574499,3.0,0.6666666666666666
20,y_rv_h20,9,0.0049820281487068675,0.5030470369952879,0.004867099010114743,-2.3613478656029026,3.0,0.7333333333333333
