regime,count,rmse,mae,spearman,top_decile_hit,rmse_hv_fut,hv_fut_frac
0,851,0.006847593239349312,0.004847454657517558,0.22878441535915672,0.1744186046511628,0.016737065600120723,0.02470888952002272
1,1448,0.007458364836287014,0.004932851769010289,0.2135889323356521,0.2,0.02058236852904365,0.03578528827037773
2,810,0.009863472087161325,0.006111894671328193,0.2715248519075071,0.30864197530864196,0.022265897894361314,0.031241124680488497
3,412,0.006801838503185081,0.004495041228902744,0.13721758364190606,0.21428571428571427,0.02046274597730086,0.008520306731042317
