regime,count,rmse,mae,spearman,top_decile_hit,rmse_hv_fut,hv_fut_frac
0,851,0.0066316378117677564,0.004981924693742658,0.08538033104570998,0.12790697674418605,0.01621498855185972,0.021300766827605795
1,1448,0.007034656896846398,0.005110813207351334,0.033374932418190686,0.10344827586206896,0.01866141379070169,0.03464924737290542
2,810,0.008594526390138668,0.005884995625647265,0.1773912856161177,0.2962962962962963,0.01867683325249284,0.02982107355864811
3,412,0.012634216618345706,0.0065437500995899475,-0.03253253530219225,0.14285714285714285,0.03393596012378654,0.014484521442771939
