target,horizon,target_family,model,model_family,n_oos,rmse,mae,qlike,spearman,top_decile_hit,rmse_hv_now,mae_hv_now,rmse_hv_fut,mae_hv_fut,sel_K_mean,sel_K_mode,sel_soft_frac,ablation_train,ablation_test
y_absret_h1,1,point_absret,ewma,baseline,3771,0.0072633047235853634,0.004843606662502999,1.8568610702000283,0.3250701908018262,0.35978835978835977,0.014642265517824207,0.010061071284747515,0.018037753950328046,0.014395887389152899,,,,,
y_absret_h1,1,point_absret,garch11,baseline,3771,0.007051886094704794,0.004787044816136914,1.7779844295387817,0.34159503911705885,0.373015873015873,0.013883423649579294,0.009890446818359254,0.017105200887551467,0.014033052397709947,,,,,
y_absret_h1,1,point_absret,har,baseline,3771,0.007133268128800965,0.004812303427216839,1.8413834282850303,0.339086780370029,0.35714285714285715,0.014227798654382827,0.010042934562477143,0.01744574918365218,0.014252936889862015,,,,,
y_absret_h1,1,point_absret,regime_both_shuffle,regime,3771,0.007144213528134787,0.004712092755770994,5.230196378052527,0.35916736171144786,0.35978835978835977,0.01455198200391764,0.00987743036014224,0.017744520400646762,0.014221616821997182,2.8,2.0,0.6666666666666666,shuffle,shuffle
y_absret_h1,1,point_absret,regime_expert_shuffle,regime,3771,0.007043601547797304,0.004709042175856289,5.088568330107474,0.3677451589441399,0.38095238095238093,0.014080555707213494,0.009888475425059716,0.017110889891325084,0.013703726669998684,2.7333333333333334,2.0,0.5333333333333333,shuffle,true
y_absret_h1,1,point_absret,regime_gate_shuffle,regime,3771,0.007105584844949126,0.004717838579522746,2.0051171760329414,0.37156593081735334,0.35185185185185186,0.014312548033412201,0.00961305530838976,0.017857375732233473,0.014431511683282904,3.066666666666667,4.0,0.6666666666666666,true,shuffle
y_absret_h1,1,point_absret,regime_normal,regime,3771,0.007224929893336076,0.004722321177644063,4.769987195445855,0.3796021559261884,0.35978835978835977,0.01519834871505735,0.01031639524120247,0.01807116443026182,0.014194868633151515,3.2666666666666666,4.0,0.5333333333333333,true,true
y_absret_h1,1,point_absret,regime_single,regime,3771,0.006967938807619939,0.004635383478923978,2.1185281941171477,0.38840259502334246,0.36772486772486773,0.013953271140019438,0.009748469843633308,0.01697556006293409,0.013629751526422968,2.0,2.0,0.0,single,single
y_absret_h1,1,point_absret,ridge,baseline,3771,0.006967938807619939,0.004635383478923978,2.1185281941171477,0.38840259502334246,0.36772486772486773,0.013953271140019438,0.009748469843633308,0.01697556006293409,0.013629751526422968,,,,,
y_absret_h1,1,point_absret,rw_vol,baseline,3771,0.00943610599397466,0.006307146368909439,148.9393048785578,0.14982103473994282,0.24867724867724866,0.018785920222061575,0.013535784204778781,0.019068857938747335,0.015467102261211882,,,,,
y_absret_h1,1,point_absret,train_mean,baseline,3771,0.00842337435241353,0.00571176088450622,2.784362259445476,-0.03669869990743689,0.05389221556886228,0.01786979890972879,0.010841794874090876,0.021890577754134517,0.017623179804024704,,,,,
y_absret_h1,1,point_absret,zero,baseline,3771,0.010847142251404101,0.007154826006247698,13853.4304193945,0.0,0.10023866348448687,0.02201732089530382,0.015436536427273176,0.028046545660683313,0.02504469318105472,,,,,
y_absret_h20,20,point_absret,ewma,baseline,3771,0.008043147198503721,0.005234506328316479,2.599445058151152,0.1539328086730545,0.23544973544973544,0.010338641533429055,0.007640534944036069,0.021337217792601636,0.016863200297569554,,,,,
y_absret_h20,20,point_absret,garch11,baseline,3771,0.008050646359937637,0.0052612679957939395,2.551550493575645,0.12309477574287456,0.25396825396825395,0.010326027117500997,0.007580601477593743,0.021305037793042,0.016889974153842524,,,,,
y_absret_h20,20,point_absret,har,baseline,3771,0.008041691377548087,0.005244294133196343,2.5125732487016474,0.14787098528018322,0.23809523809523808,0.010363596157983539,0.007662352164511527,0.02121652349390638,0.01674971967874805,,,,,
y_absret_h20,20,point_absret,regime_both_shuffle,regime,3771,0.008147654500574185,0.00530692587985725,2.647545434290662,0.10707687282227718,0.18783068783068782,0.010803609355086771,0.007690474732721115,0.021590188819144554,0.017265822257069897,2.6666666666666665,2.0,0.4666666666666667,shuffle,shuffle
