regime,count,rmse,mae,spearman,top_decile_hit,rmse_hv_fut,hv_fut_frac
0,851,0.006602203987607333,0.00470044659324541,0.3154841044559635,0.26744186046511625,0.01583505189181562,0.023288838398182334
1,1448,0.006916460056208946,0.004571288047396214,0.34516199775629186,0.27586206896551724,0.018357483048264553,0.03692132916785004
2,810,0.00991967554278288,0.005976637032411653,0.3753477047201075,0.2839506172839506,0.022242821040633146,0.032377165577960804
3,412,0.00555148948071719,0.003910876236143146,0.31759537791254844,0.38095238095238093,0.01582503354995541,0.007668276057938086
